299 9 
2 0 
1000
0 1  0 
0.999756 -0.577316 1011111111111 3 
0.0625 -1 10000 1 
-0.999817 1 010000000000001 0 
-0.999817 -1 010000000000001 1 
-0.999817 6.12323e-17 010000000000001 2 
0.1875 -1 10001 1 
0.999817 1 101111111111110 0 
0.999817 -1 101111111111110 1 
0.999817 6.12323e-17 101111111111110 2 
0.28125 1 100100 0 
-0.78125 6.12323e-17 010011 2 
0.78125 6.12323e-17 101100 2 
-0.953125 0.658716 0100001 4 
0.34375 1 100101 0 
0.953125 0.658716 1011110 4 
-0.999992 1 010000000000000000 0 
-0.999992 -1 010000000000000000 1 
-0.990234 1 0100000010 0 
-0.999992 6.12323e-17 010000000000000000 2 
-0.990234 -1 0100000010 1 
0.999992 1 101111111111111111 0 
-0.986328 1 0100000011 0 
0.999992 -1 101111111111111111 1 
0.999992 6.12323e-17 101111111111111111 2 
-0.986328 -1 0100000011 1 
0.40625 1 100110 0 
-0.99707 -0.577316 01000000001 3 
0.99707 -0.577316 10111111110 3 
-0.921875 6.12323e-17 0100010 2 
0.46875 1 100111 0 
0.921875 6.12323e-17 1011101 2 
-0.998047 0.658716 0100000000 4 
0.998047 0.658716 1011111111 4 
0.986328 1 1011111100 0 
0.986328 -1 1011111100 1 
0.999878 -0.577316 10111111111111 3 
-0.999878 -0.577316 01000000000000 3 
0.990234 1 1011111101 0 
0.990234 -1 1011111101 1 
-0.999908 1 0100000000000001 0 
-0.999908 -1 0100000000000001 1 
-0.859375 1 0100100 0 
-0.999908 6.12323e-17 0100000000000001 2 
-0.859375 -1 0100100 1 
0.999908 1 1011111111111110 0 
-0.828125 1 0100101 0 
0.999908 -1 1011111111111110 1 
0.999908 6.12323e-17 1011111111111110 2 
-0.828125 -1 0100101 1 
-0.796875 1 0100110 0 
-0.890625 6.12323e-17 0100011 2 
0.890625 6.12323e-17 1011100 2 
-0.976562 0.658716 01000001 4 
-0.765625 1 0100111 0 
0.976562 0.658716 10111110 4 
-0.999996 1 0100000000000000000 0 
-0.999996 -1 0100000000000000000 1 
-0.734375 1 0101000 0 
-0.999996 6.12323e-17 0100000000000000000 2 
0.999996 1 1011111111111111111 0 
0.999996 -1 1011111111111111111 1 
-0.703125 1 0101001 0 
0.999996 6.12323e-17 1011111111111111111 2 
-0.998535 -0.577316 010000000001 3 
0.998535 -0.577316 101111111110 3 
-0.671875 1 0101010 0 
-0.960938 6.12323e-17 01000010 2 
0.960938 6.12323e-17 10111101 2 
-0.59375 -1 010110 1 
-0.640625 1 0101011 0 
0.59375 -1 101001 1 
0.999023 0.658716 10111111111 4 
-0.999023 0.658716 01000000000 4 
-0.995117 1 01000000010 0 
-0.995117 -1 01000000010 1 
-0.999939 -0.577316 010000000000000 3 
0.999939 -0.577316 101111111111111 3 
-0.993164 1 01000000011 0 
-0.993164 -1 01000000011 1 
-0.999954 1 01000000000000001 0 
-0.999954 -1 01000000000000001 1 
0.765625 1 1011000 0 
-0.999954 6.12323e-17 01000000000000001 2 
0.999954 1 10111111111111110 0 
0.999954 -1 10111111111111110 1 
0.796875 1 1011001 0 
0.999954 6.12323e-17 10111111111111110 2 
-0.53125 -1 010111 1 
0.53125 -1 101000 1 
0.993164 1 10111111100 0 
0.993164 -1 10111111100 1 
-0.945312 6.12323e-17 01000011 2 
0.945312 6.12323e-17 10111100 2 
0.995117 1 10111111101 0 
0.995117 -1 10111111101 1 
-0.988281 0.658716 010000001 4 
0.988281 0.658716 101111110 4 
0.828125 1 1011010 0 
0.828125 -1 1011010 1 
-0.999998 1 01000000000000000000 0 
-0.999998 -1 01000000000000000000 1 
0.859375 1 1011011 0 
